Paulo Roberto Silva,2025-04-21,Sabrina Siqueira,Ganho de resistência.,59.8,1.74
José Carlos Boretto,2024-11-03,Sabrina Siqueira,Melhorar postura.,62.1,1.62
Sophie Peixoto,2024-11-26,Daniel Lopes,Definir musculatura.,77.5,1.80
Beatriz Gomes,2023-02-09,Adriana Franco,Focar em treino funcional.,80.1,1.81
Srta. Nina Melo,2024-07-07,Daniel Lopes,Desenvolver flexibilidade.,75.2,1.79
Manuela Ferreira,2025-01-10,Sabrina Siqueira,Fazer mais aeróbico.,60.2,1.66
Sr. Thomas Martins,2023-07-14,Daniel Lopes,Fortalecer o abdomen.,76.5,1.73
Isabelly Gonçalves,2023-09-09,Adriana Franco,Treinar resistência cardiovascular.,83.8,1.68
Luiz Guilherme Ramos,2024-10-09,Sabrina Siqueira,Melhorar condicionamento físico.,62.7,1.65
Srta. Isadora Teixeira,2023-06-14,Daniel Lopes,Trabalhar mobilidade.,81.2,1.78
Sr. Gustavo Rodrigues,2025-04-09,Daniel Lopes,Diminuir gordura corporal.,73.7,1.67
Vinícius Lopes,2023-11-28,Adriana Franco,Aumentar disposição.,78.4,1.71
Helena da Luz,2023-05-08,Sabrina Siqueira,Melhorar equilíbrio.,61.5,1.77
Ricardo Farias,2024-02-24,Daniel Lopes,Ganho de massa magra.,68.2,1.61
Sra. Yasmin Fogaça,2023-01-17,Adriana Franco,Ganho de massa muscular.,74.1,1.63
Thales da Rosa,2024-10-02,Sabrina Siqueira,Foco em condicionamento.,64.3,1.74
João Otávio Souza,2023-09-29,Daniel Lopes,Perder peso.,77.6,1.83
Clarice Silveira,2024-06-22,Adriana Franco,Treinos leves para articulação.,55.7,1.62
Lorenzo Mendes,2023-08-19,Sabrina Siqueira,Ganho de força.,73.9,1.72
Arthur Monteiro,2024-05-18,Daniel Lopes,Melhorar resistência.,82.4,1.65
Júlia Fernandes,2023-12-12,Adriana Franco,Trabalho de força.,67.8,1.70
Renan Correia,2024-08-01,Daniel Lopes,Reduzir estresse.,70.1,1.66
Camila Matos,2023-01-11,Sabrina Siqueira,Alongamentos e cardio.,61.0,1.69
Srta. Milena Rocha,2024-01-19,Adriana Franco,Foco em core.,66.9,1.73
Enzo Ribeiro,2023-03-22,Sabrina Siqueira,Aprimorar agilidade.,54.4,1.60
Pedro Viana,2025-02-04,Daniel Lopes,Foco em hipertrofia.,78.6,1.77
Henrique Cardoso,2023-10-30,Adriana Franco,Trabalhar resistência.,81.9,1.64
Sr. Rafael Costa,2023-04-20,Daniel Lopes,Condicionamento geral.,75.0,1.69
Emanuel Santiago,2024-12-20,Sabrina Siqueira,Ganho de definição.,70.9,1.70
Marcela Souza,2024-04-30,Adriana Franco,Melhorar postura.,63.1,1.75
Lucas Vieira,2023-10-12,Sabrina Siqueira,Ganho de força e mobilidade.,68.7,1.68
Ana Júlia Martins,2023-07-23,Daniel Lopes,Foco em cardio e resistência.,59.3,1.76
